id,name
11,CABLES
12,ADAPTER
13,360° Rotating case
14,POP SOCKET
15,3D silicon case
16,ACCESSORIES
18,Premium Cases
19,AIRPOD/SAMSUNG BUDS
20,AIRPOD PRO CASE
21,HEADPHONES
22,Wallet-Regular
23,Apple Type
24,Apple Watch Cover - 360
25,Apple Watch Cover - TPU
26,POWER BANKS
27,Gooseperry Softgel
28,Clear-Bumpers
29,Border Glue TG - SAM
30,Apple Watch Bands
31,Camera Slide Cover
32,Camera Tempered Lens - All
33,Camera Tempered Lens - IP
34,Camera Tempered Lens - SAM
35,Card Inserter
36,Design Gel
37,Symm-Design
38,Casemate case
39,Caseology-R
40,Caseology-T
41,Clear BE-Koff
42,Clear Gel Case
43,Clear-Ring
44,Commuter-Koff
45,Defender-Koff
46,Defender-Pop Koff
47,Diamond Bling
48,Car Mounts
49,Edge 2 Edge - All
50,Edge 2 Edge - IP
51,ER Splash
52,Feather Touch Ring
53,Flat Ring
54,Full Bling
55,Full Glue TG - SAM
56,Gel Case
57,GEL with Pop
58,Generic product
59,Glitz-Hook
60,Hard Gel
61,Hard Gel Ring
62,HeavyDuty-Ring
63,Wireless Charger
64,Space clear
65,SPEAKERS
66,Used Phone
67,Hybrid-Clear back
68,Incipu
69,Wallet-Premium
70,Matte-Smoky Black
71,REPAIR
72,Flap
73,Ipad Survivor Case
74,Kickstand-Hard
75,Kickstand-Soft
76,Leather TPU
77,LAPTOP
78,Life proof
79,MacBooks
80,MAGSAFE
81,Marble Gel
82,Marble with POP
83,Matte - TG - All
84,Matte - TG - SAM
85,Matte-Ring
86,Matte TG - IP
87,Matte-Cardholder
88,Matte-Smoky White
89,MOUSE
90,New Phone
91,New iPad
92,CONTROLLER
93,Repair Parts
94,Otter Box-Defender
95,TPU Screen Protector - SAM
96,Otter Box_Symmetry
97,Otter Box-Commuter
98,Otter Box-Otter Commuter+POP
99,Otter Box-Otter Defender+POP
100,Otter Box-Otter Symmetry+POP
101,Otter Box-Strada
102,Otter Box-Strada Folio
103,Otter Box-Symmetry
104,Otter Box Waterproof
105,Pre-Repair
106,Privacy - All
107,Privacy - IP
108,Privacy - SAM
109,Protection Pro
110,Regular Gel
111,Regular TG - All
112,Regular TG - IP
113,Regular TG - SAM
114,Rugged Ring
115,SMART CASE WITH KEYBOARD
116,Wallet-Design
117,Slim Armour
118,Snap on
119,Soft Gel-Ring
120,Sparkle TPU
121,Spigen-Cardholder
122,Symm-Koff
123,Symm with pop-Koff
124,Tablet screen protectors
125,TPU Screen protector - All
126,TPU Screen protector - IP
127,UAG
128,SMART WATCH
129,Usam Bling
130,Usam with pop
131,Usam-Design
132,Usam-Ring
133,Verus
134,Wallet-Backcard
135,Wallet-Burberry
136,Wallet-Checker
137,Wallet-Cloth
138,Wallet-Detach
139,Wallet-Floral
140,Wallet-Holder
141,Wallet-Jute
142,Wallet-Magnetic
143,Wallet-Mansoor
144,Wallet-Maple
145,Wallet-Marble
146,Wallet-Metal Flap
147,Wallet-Rich Diary
148,Wallet-V
149,Wallet-Zipper
150,Waterfall
151,Woospery soft
